time,frequency,midi
7.137500000000000178e+00,1.849710982658959608e+02,5.400000000000000000e+01
7.162499999999999645e+00,1.849710982658959608e+02,5.400000000000000000e+01
7.187500000000000000e+00,1.849710982658959608e+02,5.400000000000000000e+01
7.212500000000000355e+00,1.849710982658959608e+02,5.400000000000000000e+01
7.237499999999999822e+00,1.839080459770114828e+02,5.400000000000000000e+01
7.262500000000000178e+00,2.025316455696202524e+02,5.600000000000000000e+01
7.287499999999999645e+00,2.064516129032257936e+02,5.600000000000000000e+01
7.312500000000000000e+00,2.064516129032257936e+02,5.600000000000000000e+01
7.337500000000000355e+00,2.064516129032257936e+02,5.600000000000000000e+01
7.362499999999999822e+00,2.064516129032257936e+02,5.600000000000000000e+01
7.387500000000000178e+00,2.064516129032257936e+02,5.600000000000000000e+01
7.412499999999999645e+00,2.064516129032257936e+02,5.600000000000000000e+01
7.437500000000000000e+00,2.064516129032257936e+02,5.600000000000000000e+01
7.462500000000000355e+00,2.064516129032257936e+02,5.600000000000000000e+01
7.487499999999999822e+00,2.064516129032257936e+02,5.600000000000000000e+01
7.512500000000000178e+00,2.077922077922077904e+02,5.600000000000000000e+01
7.537499999999999645e+00,2.077922077922077904e+02,5.600000000000000000e+01
7.562500000000000000e+00,2.077922077922077904e+02,5.600000000000000000e+01
7.587500000000000355e+00,2.077922077922077904e+02,5.600000000000000000e+01
7.612499999999999822e+00,2.077922077922077904e+02,5.600000000000000000e+01
7.637500000000000178e+00,2.077922077922077904e+02,5.600000000000000000e+01
7.662499999999999645e+00,2.077922077922077904e+02,5.600000000000000000e+01
7.687500000000000000e+00,2.091503267973856168e+02,5.600000000000000000e+01
7.712500000000000355e+00,2.191780821917808169e+02,5.700000000000000000e+01
7.737499999999999822e+00,2.191780821917808169e+02,5.700000000000000000e+01
7.762500000000000178e+00,2.191780821917808169e+02,5.700000000000000000e+01
7.787499999999999645e+00,2.191780821917808169e+02,5.700000000000000000e+01
7.812500000000000000e+00,2.191780821917808169e+02,5.700000000000000000e+01
7.837500000000000355e+00,2.191780821917808169e+02,5.700000000000000000e+01
7.862499999999999822e+00,2.191780821917808169e+02,5.700000000000000000e+01
7.887500000000000178e+00,2.191780821917808169e+02,5.700000000000000000e+01
7.912499999999999645e+00,2.191780821917808169e+02,5.700000000000000000e+01
7.937500000000000000e+00,2.191780821917808169e+02,5.700000000000000000e+01
7.962500000000000355e+00,2.191780821917808169e+02,5.700000000000000000e+01
7.987499999999999822e+00,2.191780821917808169e+02,5.700000000000000000e+01
8.012499999999999289e+00,2.191780821917808169e+02,5.700000000000000000e+01
8.037499999999999645e+00,2.206896551724137794e+02,5.700000000000000000e+01
8.062500000000000000e+00,2.206896551724137794e+02,5.700000000000000000e+01
8.087500000000000355e+00,2.206896551724137794e+02,5.700000000000000000e+01
8.112500000000000711e+00,2.206896551724137794e+02,5.700000000000000000e+01
8.137499999999999289e+00,2.191780821917808169e+02,5.700000000000000000e+01
8.162499999999999645e+00,2.442748091603053524e+02,5.900000000000000000e+01
8.187500000000000000e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.212500000000000355e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.237500000000000711e+00,2.442748091603053524e+02,5.900000000000000000e+01
8.262499999999999289e+00,2.442748091603053524e+02,5.900000000000000000e+01
8.287499999999999645e+00,2.442748091603053524e+02,5.900000000000000000e+01
8.312500000000000000e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.337500000000000355e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.362500000000000711e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.387499999999999289e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.412499999999999645e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.437500000000000000e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.462500000000000355e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.487500000000000711e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.512499999999999289e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.537499999999999645e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.562500000000000000e+00,2.480620155038759549e+02,5.900000000000000000e+01
8.587500000000000355e+00,2.461538461538461604e+02,5.900000000000000000e+01
8.612500000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.637499999999999289e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.662499999999999645e+00,2.935779816513761489e+02,6.200000000000000000e+01
8.687500000000000000e+00,2.935779816513761489e+02,6.200000000000000000e+01
8.712500000000000355e+00,2.935779816513761489e+02,6.200000000000000000e+01
8.737500000000000711e+00,2.935779816513761489e+02,6.200000000000000000e+01
8.762499999999999289e+00,2.935779816513761489e+02,6.200000000000000000e+01
